p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.27457024836986	0.86	0.258	0	Neuron	Nnat
0	3.14503282904476	0.654	0.154	0	Neuron	1500015O10Rik
0	2.71517088293786	0.637	0.169	0	Neuron	Rarres2
0	2.4851266668088	0.61	0.069	0	Neuron	Ccdc153
0	2.43952864864951	0.575	0.073	0	Neuron	Mia
0	2.41202857952787	0.585	0.062	0	Neuron	Tmem212
0	2.40329604483915	0.877	0.535	0	Neuron	Mt3
0	2.3653001558634	0.966	0.826	0	Neuron	Dbi
0	2.35641772993931	0.6	0.066	0	Neuron	Fam183b
0	2.29752087851231	0.602	0.049	0	Neuron	Rsph1
0	2.22154953139166	0.636	0.073	0	Neuron	Aebp1
0	2.11379411218969	0.604	0.044	0	Neuron	Enkur
0	2.06883110859447	0.557	0.016	0	Neuron	Cfap54
0	2.059424879	0.6	0.04	0	Neuron	Meg3
0	2.04244001383444	0.747	0.204	0	Neuron	Syne1
0	2.04222856373047	0.759	0.178	0	Neuron	Sox2
0	2.02280887806381	0.579	0.045	0	Neuron	Dynlrb2
0	2.01615238000942	0.577	0.031	0	Neuron	Ly6h
0	2.00875071480772	0.559	0.024	0	Neuron	Ak7
0	1.99985382025272	0.712	0.266	0	Neuron	4933434E20Rik
0	1.96476014144092	0.736	0.257	0	Neuron	Clu
0	1.94211681128042	0.723	0.254	0	Neuron	Elof1
0	1.92757759414495	0.548	0.029	0	Neuron	Spef2
0	1.92014677962878	0.651	0.197	0	Neuron	Chchd10
0	1.91843408699616	0.594	0.11	0	Neuron	Rtn1
0	1.87548273143966	0.54	0.041	0	Neuron	1110017D15Rik
0	1.85550939610737	0.311	0.035	0	Neuron	Vcan
0	1.8281283333167	0.55	0.039	0	Neuron	1700007K13Rik
0	1.78467962951376	0.508	0.008	0	Neuron	Dnah12
0	1.77391843872258	0.627	0.164	0	Neuron	Hspa2
0	1.76261984921768	0.533	0.022	0	Neuron	Fam216b
0	1.75297618771545	0.551	0.047	0	Neuron	Cfap126
0	1.72899412073373	0.537	0.026	0	Neuron	Ccdc39
0	1.72282509798817	0.554	0.061	0	Neuron	Foxj1
0	1.71524689349832	0.504	0.014	0	Neuron	Dnah6
0	1.71198382453831	0.936	0.744	0	Neuron	Hsp90aa1
0	1.70790901108041	0.542	0.038	0	Neuron	Mlf1
0	1.67844845738974	0.521	0.026	0	Neuron	1700012B09Rik
0	1.65937264380844	0.589	0.135	0	Neuron	Ascc1
0	1.65913896992033	0.434	0.14	0	Neuron	Ptprz1
0	1.63563459378024	0.696	0.31	0	Neuron	Mt2
0	1.60633568039386	0.7	0.344	0	Neuron	Nudt4
0	1.60487563423351	0.51	0.035	0	Neuron	Riiad1
0	1.58346620212144	0.525	0.054	0	Neuron	Gm14964
0	1.58196325461768	0.501	0.015	0	Neuron	Rsph4a
0	1.57688707387665	0.554	0.044	0	Neuron	Cd24a
0	1.57031034940054	0.548	0.092	0	Neuron	Fhl1
0	1.57000294016279	0.535	0.025	0	Neuron	Mns1
0	1.56155220741619	0.504	0.024	0	Neuron	Gm973
0	1.55766671643598	0.498	0.021	0	Neuron	1700016K19Rik
0	1.55148744994401	0.731	0.17	0	Neuron	Ngfrap1
0	1.54235159554863	0.504	0.02	0	Neuron	Elmod1
0	1.53038399820657	0.502	0.029	0	Neuron	Calml4
0	1.52680732927758	0.472	0.013	0	Neuron	Cfap69
0	1.52612402072436	0.456	0.017	0	Neuron	Stoml3
0	1.52278552291245	0.253	0.046	0	Neuron	Opcml
0	1.50510477075037	0.45	0.01	0	Neuron	Cfap44
0	1.50007954894643	0.494	0.022	0	Neuron	Iqcg
0	1.49919933984095	0.295	0.063	0	Neuron	Tnr
0	1.49789434091461	0.494	0.022	0	Neuron	2410004P03Rik
0	1.4966181486581	0.514	0.04	0	Neuron	Tmem107
0	1.4961897546115	0.493	0.02	0	Neuron	Wdr78
0	1.4933433428163	0.53	0.081	0	Neuron	Ezr
0	1.49029708228254	0.457	0.009	0	Neuron	Hydin
0	1.48094541005753	0.745	0.26	0	Neuron	Pcsk1n
0	1.47678415623131	0.45	0.008	0	Neuron	Lrriq1
