Variable	HR	CI_lower	CI_upper	P_value	Cell_Type	id	HR (95% CI)
Age	1	0.99	1	0.545	NA	1	1.00 (0.99–1.00)
Sex	1.23	0.82	1.9	0.314	NA	2	1.23 (0.82–1.90)
Stage	1.51	1.22	1.9	0.0001 ***	NA	3	1.51 (1.22–1.90)
Cell signature	NA	NA	NA	NA	NA	4	
1	1.03	0.67	1.6	0.908	Classical Monocyte	5	1.03 (0.67–1.60)
2	1.04	0.71	1.5	0.848	Nonclassical Monocyte	6	1.04 (0.71–1.50)
3	0.96	0.65	1.4	0.818	FOLR2+ TAM	7	0.96 (0.65–1.40)
4	1.07	0.71	1.6	0.743	IFN-TAM	8	1.07 (0.71–1.60)
5	0.72	0.47	1.1	0.12	Inflam-TAM	9	0.72 (0.47–1.10)
6	1	0.64	1.6	0.998	RTM-TAM	10	1.00 (0.64–1.60)
7	1.63	1.15	2.3	0.006 **	TREM2+ TAM	11	1.63 (1.15–2.30)
9	0.95	0.63	1.4	0.796	cDC1 (CLEC9A+)	12	0.95 (0.63–1.40)
10	0.9	0.6	1.3	0.6	cDC2 (CD1C+)	13	0.90 (0.60–1.30)
11	1.05	0.67	1.7	0.837	cDC3 (LAMP3+)	14	1.05 (0.67–1.70)
